ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_SERIOUS_INJ,NO_PERSONS_OTHER_INJ,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,SPEED_ZONE_DESC,SEVERITY_DESC,POLICE_ATTEND_DESC,LIGHT_CONDITION_DESC,IS_LARGE_CRASH,REJECT_REASON
T20200012731,2020-07-01,18:50:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,0,0,1,0,0,1,2,T intersection,2,999,Arterial Other,Not known,Serious injury accident,Yes,Dusk/Dawn,,Crash record states zero vehicles were involved
T20220002330,2022-02-03,20:05:00,Collision with a fixed object,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,0,0,0,1,0,1,2,T intersection,3,40,Local Road,0-40 km/h,Other injury accident,Yes,Dusk/Dawn,,Crash record states zero vehicles were involved
T20200008868,2020-05-02,01:45:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),5,0,0,1,0,0,1,2,T intersection,2,999,Local Road,Not known,Serious injury accident,Yes,Dark No street lights,,Crash record states zero vehicles were involved
T20240007400,2024-03-23,17:34:00,Collision with vehicle,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,2,0,0,1,1,1,1,Cross intersection,2,50,Local Road,41-60 km/h,Serious injury accident,Yes,Day,,Severity says serious injury but none is recorded
T20190002653,2019-02-11,22:15:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,0,0,0,1,0,1,5,Not at intersection,3,999,Arterial Other,Not known,Other injury accident,Yes,Dark Street lights on,,Crash record states zero vehicles were involved
T20230030888,2023-12-29,18:52:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,0,0,0,1,0,1,5,Not at intersection,3,999,Arterial Other,Not known,Other injury accident,Yes,Day,,Crash record states zero vehicles were involved
T20230009098,2023-04-18,21:45:00,collision with some other object,166,STRUCK OBJECT ON CARRIAGEWAY,3,1,0,0,1,0,1,5,Not at intersection,3,999,Local Road,Not known,Other injury accident,Yes,Dark Street lights on,,Orphan record: No matching vehicle data found
T20230027118,2022-08-30,12:20:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,0,0,1,0,0,1,5,Not at intersection,2,888,Arterial Highway,Camping grounds/ off road,Serious injury accident,Yes,Day,,Crash record states zero vehicles were involved
T20210022607,2021-10-31,18:20:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,1,0,0,1,0,1,5,Not at intersection,3,50,Local Road,41-60 km/h,Other injury accident,Yes,Day,,Orphan record: No matching vehicle data found
T20210022263,2021-11-02,15:00:00,Vehicle overturned (no collision),174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,1,0,0,1,0,2,5,Not at intersection,3,999,Local Road,Not known,Other injury accident,No,Day,,Orphan record: No matching vehicle data found
