VEHICLE_POWER,CARRY_CAPACITY,CUBIC_CAPACITY,VEHICLE_COLOUR_2
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1500.0,ZZ
,15400.0,,ZZ
,,,ZZ
,,,ZZ
,1025.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,300.0,,ZZ
,600.0,,ZZ
,,,ZZ
,,,ZZ
,13720.0,,ZZ
,,,ZZ
,,,ZZ
,,1700.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,4000.0,ZZ
,1240.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1848.0,,ZZ
,,4000.0,ZZ
,,3600.0,ZZ
,,,ZZ
,,200.0,ZZ
,,,ZZ
,1580.0,,ZZ
,1130.0,,ZZ
,,675.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1315.0,3000.0,ZZ
,,,ZZ
,,,ZZ
,789.0,,ZZ
,,,ZZ
,,1200.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,7880.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1331.0,,ZZ
,558.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,3915.0,4600.0,ZZ
,,,ZZ
,1301.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,250.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,3500.0,ZZ
,,,ZZ
,,150.0,ZZ
,,,ZZ
,1099.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1200.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,600.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,19000.0,,ZZ
,,,ZZ
,,1800.0,ZZ
,15120.0,,ZZ
,446.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,900.0,,ZZ
,,,ZZ
,,3800.0,ZZ
,,,ZZ
,1185.0,,ZZ
,,1000.0,ZZ
,,,SIL
,,1340.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2300.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1000.0,ZZ
,1099.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,350.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1114.0,,ZZ
,,,ZZ
,,,ZZ
,,300.0,ZZ
,,,ZZ
,,,FWN
,,,ZZ
,,650.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1235.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1282.0,,ZZ
,,,ZZ
,,,ZZ
,8200.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2300.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,600.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,496.0,,ZZ
,,,ZZ
,,,ZZ
,,3600.0,ZZ
,5350.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,4520.0,,ZZ
,,2400.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,860.0,,ZZ
,,,ZZ
